Nome Parcheggio;Posti Totali;Latitudine;Longitudine
Randaccio;153;45,54457474;10,21333122
Sant Eufemia;394;45,51190479;10,28022113
Fossa Bagni;516;45,54423141;10,22429085
Palagiustizia;538;45,53078461;10,22312164
Ospedale Sud;471;45,55443954;10,23043919
Casazza;157;45,57577896;10,228508
Crystal;359;45,5243721;10,21453571
Ospedale Nord Esterno;146;45,56023407;10,23260593
Ospedale Nord Interrato;1244;45,55975342;10,23159695
Crystal Terrazzo;60;45,5243721;10,21453476
Camper;10;45,51680384;10,23486182
Stazione;958;45,53233337;10,2149086
Vittoria;460;45,53781509;10,21893692
Arnaldo;263;45,53642273;10,23163986
Autosilo1;317;45,53338563;10,22214132
Freccia Rossa;2218;45,5359047;10,20981331
Piazza Mercato;190;45,53754634;10,21797139
Benedetto Croce;72;45,53455734;10,21966362
San Domenico;72;45,53532028;10,21919155
Prealpino;878;45,58044282;10,22785373
