N. Postazione,Nome,Latitudine ,Longitudine,Tot. colonnine
1,Fossa Bagni,45.54424667,10.22357178,12
2,Da Vinci,45.54621506,10.21601868,12
3,Randaccio,45.54431915,10.21243572,7
4,Garibaldi,45.5418396,10.21035385,11
5,Cairoli,45.53945923,10.21107292,7
6,Repubblica,45.5349884,10.21092319,9
7,Stazione FS,45.53269196,10.21356773,26
8,Gramsci,45.53388977,10.21825027,8
9,Palagiustizia,45.53124619,10.22116947,10
10,Autosilo,45.53306198,10.22106171,10
11,Spalto San Marco,45.53279114,10.22522354,8
12,Arnaldo,45.53611374,10.23078156,8
13,Tebaldo Brusato,45.53704071,10.22937679,7
14,Magenta,45.53578949,10.22549343,8
15,San Faustino,45.54452133,10.22013092,12
16,Cavour,45.53588104,10.22312164,10
17,Zanardelli,45.53657913,10.22129822,18
18,Vittoria,45.53830719,10.21907711,18
19,Duomo,45.53798676,10.22140503,12
20,Rovetta,45.54018021,10.21968842,11
21,Pallata,45.54086304,10.21584702,7
22,San Domenico,45.53542328,10.218894,10
23,Castellini,45.53360367,10.23527718,14
24,Iveco,45.54769516,10.20766068,12
25,Dalmazia,45.52579498,10.19744778,8
26,Satellite,45.56030273,10.23226261,22
27,Ospedali Civili,45.55471802,10.23091125,10
28,Chiusure,45.55746078,10.1956234,10
29,Mompiano Ambaraga,45.56685638,10.2395153,6
30,Veneto,45.55281,10.21667,12
31,Piave,45.53004074,10.2476902,12
32,Wuhrer,45.52814102,10.25712109,9
33,Lamarmora - Metro,45.52162552,10.21220016,10
34,Questura,45.5252037,10.24310875,10
35,Cremona,45.52558517,10.22362614,7
36,Kennedy,45.52621078,10.21483898,10
37,Golgi,45.55222321,10.2284317,7
38,Milano,45.54290771,10.20633125,10
39,Duca Abruzzi,45.52554321,10.23157597,18
40,Branze,45.56365204,10.23180103,8
41,Don Bosco,45.52928925,10.20315456,9
42,Badia,45.54858017,10.16606617,9
43,Vallecamonica,45.54709625,10.18046093,10
44,Violino,45.54431152,10.16843891,6
45,Borgo Trento,45.55492401,10.22542,8
46,San Donino,45.55790329,10.21839046,11
47,Galilei,45.54757309,10.22712898,11
48,Prealpino Metro,45.58027267,10.22829056,10
49,Casazza Metro,45.57325125,10.22801935,10
50,Mompiano Metro,45.56775284,10.23675632,10
51,Europa,45.56298828,10.23455715,14
52,Ospedali Civili Metro,45.55559158,10.23300076,10
53,Marconi,45.55456543,10.22667694,12
54,Stazione FS Metro,45.53226852,10.21466064,12
55,Brescia 2,45.52644348,10.21231556,10
56,Volta,45.51827621,10.22531891,12
57,Poliambulanza,45.51729965,10.23673534,10
58,San Polo Parco 1,45.51708984,10.24215317,8
59,San Polo Parco 2,45.51699829,10.24215031,8
60,San Polo Cimabue,45.51844406,10.25886822,10
61,San Polino,45.51648712,10.26623917,10
62,Sant Eufemia Buffalora,45.51132584,10.28014374,10
63,Zooprofilattico,45.52292252,10.2229805,10
64,Caduti del Lavoro,45.55375671,10.18999863,10
65,San Bartolomeo,45.56670761,10.2211504,10
66,Corsica,45.53000259,10.20718956,10
67,Parco Ducos 2,45.52682877,10.24872112,10
68,Sant Eufemia Rimembranza,45.52364731,10.26776981,10
69,Sant Anna,45.55190277,10.18089008,10
70,ALFA ACCIAI,45.51031876,10.25284672,10
71,Parco Castelli,45.57289124,10.23978329,10
72,Prealpino Tovini,45.58335495,10.2336731,10
73,Villaggio Sereno,45.51156998,10.18799782,10
74,Corso Martiri,45.53726578,10.21525478,10
75,Nino Bixio,45.54397583,10.2177,7
76,Polivalente (Via Collebeato),45.56409836,10.20664597,10
77,Fornaci,45.50339508,10.17251587,6
78,Folzano,45.49525452,10.20372868,6
79,Buffalora,45.49670792,10.27406597,8
80,Fiumicello,45.54747009,10.19492912,8
81,1° Maggio,45.53669357,10.19589329,8
82,Via Scuole,45.5606575,10.21439934,10
83,Sostegno,45.53076553,10.21484184,12
84,Chiesanuova,45.52843857,10.18310928,8
85,Caionvico,45.52394867,10.28834915,8
86,Garzetta,45.56109853,10.24233181,12
87,Nicolini,45.54605096,10.19766152,10
88,Villa Glori,45.54255807,10.19240736,10
89,Don Pinzoni,45.52181659,10.2356716,6
90,Casazza,45.57619476,10.22992229,10
91,Urago Mella,45.56342628,10.20015476,10
92,Sorbanella,45.54112738,10.21927204,6
93,Maiera,45.54112738,10.21927204,8
94,Tommaseo,45.5511954483735,10.2136802673339,9
95,Bovezzo,4.558.995.084.452.920,10.238.470.980.043.200,8
